Screening_Location_ID,total_screen_median,census_popn,census_prop_age15to44,GEOTB_rate_total,census_perc_blender,Category_Community (general),Category_Health facility,Category_Large Market,Category_Transport terminal,intercept
1077,0.12545235223160434,0.07184470090301082,0.48539247,0.6340924141526368,0.756934551,0,0,1,0,1
1001,0.609167671893848,0.0,0.52331631,0.8781076074900958,0.697673431,1,0,0,0,1
1003,0.1278648974668275,0.1162496249160635,0.473934086,0.598545830078554,0.795012259,1,0,0,0,1
1004,0.09891435464414958,0.10614155894059538,0.484361677,0.6827127589538814,0.767374217,1,0,0,0,1
1002,0.11942098914354644,0.10301458703717989,0.469733098,0.47594685816840976,0.816742184,0,1,0,0,1
1059,0.10856453558504221,0.09765711224865394,0.457356953,0.5754767736427967,0.781428195,1,0,0,0,1
1098,0.097708082026538,0.10301458703717989,0.469733098,0.47594685816840976,0.816742184,1,0,0,0,1
1006,0.17973462002412546,0.5020783103840503,0.487398638,0.3751453906113705,0.785988689,1,0,0,0,1
1063,0.04463208685162847,0.5437972660262463,0.518889012,0.3785141899363009,0.737645657,1,0,0,0,1
1005,0.18335343787696018,0.5020783103840503,0.487398638,0.3751453906113705,0.785988689,1,0,0,0,1
1016,0.09891435464414958,0.5020783103840503,0.487398638,0.3751453906113705,0.785988689,1,0,0,0,1
1014,1.0,0.5512134379724751,0.502802304,0.39953003219306205,0.759948566,1,0,0,0,1
1079,0.11821471652593486,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,1,0,0,0,1
1011,0.4620024125452352,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,1,0,0,0,1
1078,0.09650180940892641,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,1,0,0,0,1
1015,0.20868516284680338,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,1,0,0,0,1
1010,0.5379975874547648,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,0,0,1,0,1
1012,0.4028950542822678,0.9209235622822323,0.434962421,0.18596563222039916,0.889377994,1,0,0,0,1
1007,0.4041013268998794,0.5469414469227415,0.494036026,0.31298501402902146,0.852927837,1,0,0,0,1
1017,0.10012062726176116,0.5469414469227415,0.494036026,0.31298501402902146,0.852927837,1,0,0,0,1
1013,0.23281061519903498,0.5469414469227415,0.494036026,0.31298501402902146,0.852927837,1,0,0,0,1
1018,0.2436670687575392,0.5469414469227415,0.494036026,0.31298501402902146,0.852927837,1,0,0,0,1
1099,0.15319662243667068,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1100,0.13268998793727382,1.0,0.471404884,0.7290162818093936,0.80918032,1,0,0,0,1
1019,0.11218335343787696,0.09156222055094229,0.497807591,0.07896227996840334,0.841985882,1,0,0,0,1
1023,0.44149577804583834,0.3911519406959929,0.495492669,0.2357957872227972,0.830279883,0,0,1,0,1
1097,0.07237635705669482,0.23893216014507576,0.489154844,0.5630440793371368,0.820981203,1,0,0,0,1
1080,0.10494571773220748,0.23893216014507576,0.489154844,0.5630440793371368,0.820981203,1,0,0,0,1
